player_norm,mlb_player_id
kyle isbel,664728
nico hoerner,663538
josh naylor,647304
jorge polanco,593871
michael busch,683737
juan soto,665742
tyler heineman,623168
brenton doyle,686668
jake fraley,641584
oswald peraza,672724
steven matz,571927
matt mclain,680574
junior caminero,691406
jorge mateo,622761
victor scott ii,687363
jared triolo,669707
jo adell,666176
matt shaw,807713
richie palacios,680700
chase meidroth,805367
jesus sanchez,660821
everson pereira,677592
dylan beavers,687637
marcelo mayer,691785
byron buxton,621439
munetaka murakami,808959
matt olson,621566
nasim nunez,683083
kazuma okamoto,672960
luis rengifo,650859
ernie clement,676391
josh bell,605137
dominic smith,642086
tristan peters,671976
luke raley,670042
brady house,691781
jarren duran,680776
henry davis,680779
logan o'hoppe,681351
hunter feduccia,676439
brice turang,668930
luis morales,806960
roman anthony,701350
colson montgomery,695657
cj abrams,682928
steven kwan,680757
brett baty,683146
nolan schanuel,694384
yoan moncada,660162
josh lowe,666139
christian vazquez,543877
j.t. realmuto,592663
caleb durbin,702332
taylor ward,621493
matt wallner,670242
addison barger,680718
dominic canzone,686527
bo bichette,666182
jesus luzardo,666200
francisco lindor,596019
luis robert jr.,673357
hunter goodman,696100
adam frazier,624428
zach neto,687263
tyler soderstrom,691016
denzel clarke,672016
bryce harper,547180
mackenzie gore,669022
javier sanoja,691594
brent rooker,667670
pedro pages,686780
max meyer,676974
isaac paredes,670623
austin wynns,642851
austin slater,596103
jacob young,696285
leo rivas,660844
julio rodriguez,677594
carmen mlodzinski,669387
mike yastrzemski,573262
grant holmes,656550
ryan mountcastle,663624
victor robles,645302
jj wetherholt,802139
cole young,702284
slade cecconi,677944
edmundo sosa,624641
sam haggerty,664059
otto lopez,672640
alec bohm,664761
carter jensen,695600
moises ballesteros,694208
adolis garcia,666969
ezequiel tovar,678662
cedric mullins,656775
kyle schwarber,656941
josh jung,673962
drake baldwin,686948
darell hernaiz,687231
christian walker,572233
yordan alvarez,670541
andres chaparro,665953
blake perkins,663368
joey wiemer,686894
brayan rocchio,677587
carlos correa,621043
tj rumfield,681198
coby mayo,691723
connelly early,813349
trevor larnach,663616
george springer,543807
thomas saggese,695336
samuel basallo,694212
kyle karros,691720
jose altuve,514888
eric lauer,641778
otto kemp,805249
willi castro,650489
sal stewart,701398
shota imanaga,684007
maikel garcia,672580
wyatt langford,694671
spencer steer,668715
daylen lile,695734
royce lewis,668904
carson kelly,608348
ivan herrera,671056
mike trout,545361
pete crow-armstrong,691718
nick gonzales,693304
ryan o'hearn,656811
ian happ,664023
oneil cruz,665833
jose quintana,500779
cal raleigh,663728
jake burger,669394
jorge soler,624585
jake mangum,663968
austin hays,669720
sal frelick,686217
connor norby,681393
noelvi marte,682622
seth lugo,607625
nick loftin,679845
nick kurtz,701762
jeremy pena,665161
heriberto hernandez,681715
ramon urias,602104
rhett lowder,695076
agustin ramirez,682663
gunnar henderson,683002
brett sullivan,664954
wilyer abreu,677800
chandler simpson,802415
andres gimenez,665926
tyler o'neill,641933
gary sanchez,596142
dustin may,669160
brandon sproat,687075
brandon lockridge,663604
jacob wilson,805779
jeferson quero,691620
bo naylor,666310
tatsuya imai,837227
vinnie pasquantino,686469
yandy diaz,650490
bobby witt jr.,677951
willson contreras,575929
anthony kay,641743
jake mccarthy,664983
andrew benintendi,643217
dane myers,667472
lane thomas,657041
luis torrens,620443
jack kochanowicz,686799
xavier edwards,669364
chase delauter,800050
austin riley,663586
jac caglianone,695506
cj kayfus,692216
connor wong,657136
keibert ruiz,660688
cam smith,701358
shane baz,669358
jorbit vivas,678391
gabriel arias,672356
shea langeliers,669127
corey seager,608369
andrew mccutchen,457705
jakob marsee,805300
masyn winn,691026
jake irvin,663623
brandon nimmo,607043
tj friedl,670770
jose ramirez,608070
nolan mclean,690997
eugenio suarez,553993
carson benge,701807
ezequiel duran,677649
bailey ober,641927
alex bregman,608324
edgar quero,700337
brendan donovan,680977
jordan beck,687597
brandon lowe,664040
tristan gray,656484
william contreras,661388
angel martinez,682657
ronald acuna jr.,660670
salvador perez,521692
emerson hancock,676106
kyle higashioka,543309
ozzie albies,645277
masataka yoshida,807799
carson williams,700246
victor caratini,605170
daulton varsho,662139
jeremiah jackson,669236
dansby swanson,621020
randy arozarena,668227
james wood,695578
alec burleson,676475
spencer horwitz,687462
trea turner,607208
rhys hoskins,656555
marcus semien,543760
kyle manzardo,700932
joey loperfido,694388
trevor story,596115
joey ortiz,687401
jonathan aranda,666018
michael harris ii,671739
travis d'arnaud,518595
justin crawford,702222
tyler stephenson,663886
bryan reynolds,668804
kody clemens,665019
pete alonso,624413
luke keaschall,807712
miguel vargas,678246
jordan walker,691023
corbin carroll,682998
colton cowser,681297
ke'bryan hayes,663647
cody bellinger,641355
