player_name,nhl_player_id
a.j. greer,8478421
aaron ekblad,8477932
aatu raty,8482691
adam boqvist,8480871
adam edstrom,8481726
adam erne,8477454
adam fantilli,8484166
adam fox,8479323
adam gaudette,8478874
adam henrique,8474641
adam klapka,8483609
adam larsson,8476457
adam lowry,8476392
adam pelech,8476917
adam sykora,8483669
adam wilsby,8482482
adin hill,8478499
adrian kempe,8477960
albert johansson,8481607
alex bump,8483731
alex debrincat,8479337
alex debrincat + jack hughes,8448071|8479337
alex iafallo,8480113
alex killorn,8473986
alex laferriere,8482155
alex lyon,8479312
alex nedeljkovic,8477968
alex newhook,8481618
alex ovechkin,8471214
alex ovechkin + mikael backlund,8471214|8474150
alex steeves,8482634
alex tuch,8477949
alex turcotte,8481532
alex vlasic,8481568
alexander nikishin,8482100
alexander wennberg,8477505
alexandre carrier,8478851
alexandre texier,8480074
alexey toropchenko,8480281
alexis lafreniere,8482109
aliaksei protas,8481656
anders lee,8475314
andre burakovsky,8477444
andrei svechnikov,8480830
andrei vasilevskiy,8476883
andrew copp,8477429
andrew mangiapane,8478233
andrew peeke,8479369
anthony beauvillier,8478463
anthony cirelli,8478519
anthony duclair,8477407
anthony mantha,8477511
anthony stolarz,8476932
anton frondell,8485391
anton lundell,8482113
anze kopitar,8471685
arber xhekaj,8482964
arseny gritsyuk,8481721
artem zub,8482245
artemi panarin,8478550
artemi panarin + dylan holloway,8478550|8482077
arttu hyry,8484938
artturi lehkonen,8477476
arturs silovs,8481668
artyom levshunov,8484783
arvid soderblom,8482821
auston matthews,8479318
avery hayes,8482993
axel sandin-pellikka,8484223
barclay goodrow,8476624
barrett hayton,8480849
beck malenstyn,8479359
beckett sennecke,8484762
ben chiarot,8475279
ben hutton,8477018
ben kindel,8485414
ben meyers,8483570
berkly catton,8484800
blake coleman,8476399
blake lizotte,8481481
bo groulx,8480870
bo horvat,8477500
bobby brink,8481553
bobby mcmann,8482259
boone jenner,8476432
bowen byram,8481524
brad lambert,8483471
braden schneider,8482073
brady skjei,8476869
brady tkachuk,8480801
brady tkachuk + evander kane,8475169|8480801
braeden bowman,8483890
brandon bussi,8483548
brandon carlo,8478443
brandon duhaime,8479520
brandon hagel,8479542
brandon montour,8477986
brandon saad,8476438
brandon tanev,8479293
brandt clarke,8482730
brayden mcnabb,8475188
brayden pachal,8481167
brayden point,8478010
brayden schenn,8475170
brendan brisson,8482153
brendan gallagher,8475848
brenden dillon,8475455
brennan othmann,8482747
brent burns,8470613
brett howden,8479353
brett kulak,8476967
brett pesce,8477488
brian dumoulin,8475208
brock boeser,8478444
brock faber,8482122
brock nelson,8475754
bryan rust,8475810
cale fleury,8479985
cale makar,8480069
calle jarnkrok,8475714
calum ritchie,8484221
cam fowler,8475764
cam york,8481546
cameron hughes,8478888
carl grundstrom,8479336
carson soucy,8477369
carter mazur,8482802
carter verhaeghe,8477409
carter yakemchuk,8484759
casey cizikas,8475231
casey mittelstadt,8479999
chandler stephenson,8476905
charle-edouard d'astous,8480426
charlie coyle,8475745
charlie mcavoy,8479325
chris kreider,8475184
christian dvorak,8477989
claude giroux,8473512
clayton keller,8479343
cody ceci,8476879
cody glass,8479996
cole caufield,8481540
cole hutson,8484873
cole koepke,8481043
cole perfetti,8482149
cole reinhardt,8481133
cole sillinger,8482705
cole smith,8482062
colin blackwell,8476278
collin graf,8484911
colton dach,8482703
colton parayko,8476892
colton sissons,8476925
connor bedard,8484144
connor bedard + jason robertson,8480027|8484144
connor bedard + logan cooley,8483431|8484144
connor brown,8477015
connor clifton,8477365
connor dewar,8480980
connor hellebuyck,8476945
connor ingram,8478971
connor mackey,8482067
connor mcdavid,8478402
connor mcdavid + pavel dorofeyev,8478402|8481604
connor mcdavid + wyatt johnston,8478402|8482740
connor mcmichael,8481580
connor murphy,8484121
connor zary,8482074
conor garland,8478856
conor geekie,8483447
conor sheary,8477839
conor timmins,8479982
corey perry,8470621
curtis douglas,8480876
curtis lazar,8477508
cutter gauthier,8483445
cutter gauthier + pavel buchnevich,8477402|8483445
dakota joshua,8478057
dalibor dvorsky,8484164
damon severson,8476923
dan vladar,8478435
daniil but,8484388
dante fabbro,8479371
danton heinen,8478046
darnell nurse,8477498
darren raddysh,8478178
david kampf,8480144
david pastrnak,8477956
david pastrnak + morgan geekie,8477956|8479987
david perron,8474102
david rittich,8479496
dawson mercer,8482110
declan carlile,8483398
declan chisholm,8480990
dennis gilbert,8478502
denton mateychuk,8483485
denver barkey,8484142
devin cooley,8482445
devon toews,8478038
dmitri voronkov,8481716
dmitry kulikov,8475179
dmitry orlov,8475200
dominic toninato,8476952
dominik shine,8479942
donovan sebrango,8482131
dougie hamilton,8476462
drake batherson,8480208
drew commesso,8482123
drew doughty,8474563
drew helleson,8481563
drew o'connor,8482055
dustin wolf,8481692
dylan cozens,8481528
dylan demelo,8476331
dylan garand,8482193
dylan guenther,8482699
dylan holloway,8482077
dylan larkin,8477946
dylan samberg,8480049
dylan strome,8478440
easton cowan,8484158
eeli tolvanen,8480009
eetu luostarinen,8480185
egor zamula,8481178
elias lindholm,8477496
elias pettersson,8483678
elias salomonsson,8483510
elmer soderblom,8481725
elvis merzlikins,8478007
emil andrae,8482126
emil heineman,8482476
emil lilleberg,8482929
emmitt finnie,8484471
eric robinson,8478384
erik cernak,8478416
erik gudbranson,8475790
erik haula,8475287
erik karlsson,8474578
esa lindell,8476902
ethan mastro,8483188
ethen frank,8483573
evan bouchard,8480803
evan rodrigues,8478542
evander kane,8475169
evgeni malkin,8471215
evgenii dadonov,8474149
fabian zetterlund,8480188
fedor svechkov,8482768
filip forsberg,8476887
filip gustavsson,8479406
filip hallander,8480842
filip hronek,8479425
frank nazar,8483493
frank vatrano,8478366
fraser minten,8483489
frederick gaudreau,8477919
frederik andersen,8475883
gabriel landeskog,8476455
gabriel vilardi,8480014
gage goncalves,8482201
garnet hathaway,8477903
gavin brindley,8484149
gustav forsling,8478055
gustav nyquist,8474679
hampus lindholm,8476854
haydn fleury,8477938
hendrix lapierre,8482148
henri jokiharju,8480035
hunter brzustewicz,8484150
hunter haight,8483452
ian cole,8474013
ian moore,8482178
igor chernyshov,8484994
igor shesterkin,8478048
ilya lyubushkin,8480950
ilya mikheyev,8481624
ilya solovyov,8482470
ilya sorokin,8478009
isac lundestrom,8480806
isak rosen,8482765
ivan barbashev,8477964
ivan demidov,8484984
ivan ivan,8483930
ivan miroshnichenko,8483491
ivan provorov,8478500
j.j. moser,8482655
j.t. compher,8477456
j.t. miller,8476468
jaccob slavin,8476958
jack drury,8480835
jack eichel,8478403
jack finley,8482090
jack hughes,8448071
jack hughes + luke hughes,8448071|8482684
jack mcbain,8480855
jack quinn,8482097
jack roslovic,8478458
jack studnicka,8480021
jackson blake,8482809
jackson lacombe,8481605
jacob bernard-docker,8481189
jacob bryson,8480196
jacob fowler,8484170
jacob markstrom,8474593
jacob melanson,8482874
jacob quillan,8484901
jacob trouba,8476885
jaden schwartz,8475768
jake christiansen,8481161
jake debrusk,8478498
jake evans,8478133
jake guentzel,8477404
jake mccabe,8476931
jake middleton,8478136
jake neighbours,8482089
jake oettinger,8479979
jake sanderson,8482105
jake walman,8478013
jakob chychrun,8479345
jakub dobes,8482487
jakub dvorak,8484163
jalen chatfield,8478970
james reimer,8473503
james riemsdyk,8456701
jamie benn,8473994
jamie drysdale,8482142
jamie oleksiak,8476467
jani nyman,8483497
jansen harkins,8478424
jared mccann,8477955
jared spurgeon,8474716
jared wright,8483756
jaroslav chmelar,8482877
jason dickinson,8477450
jason robertson,8480027
jason zucker,8475722
jayden struble,8481593
jean-gabriel pageau,8476419
jeff malott,8482408
jeff petry,8473507
jeffrey viel,8479705
jeremy lauzon,8478468
jeremy swayman,8480280
jesper boqvist,8480003
jesper bratt,8479407
jesper wallstedt,8482661
jesperi kotkaniemi,8480829
jet greaves,8482982
jimmy snuggerud,8483516
jj peterka,8482175
joakim kemell,8483465
joel armia,8476469
joel edmundson,8476441
joel ek,8468208
joel eriksson ek,8478493
joel farabee,8480797
joel hanley,8477810
joel kiviranta,8481641
joey daccord,8478916
john beecher,8481556
john carlson,8474590
john gibson,8476434
john klingberg,8475906
john leonard,8481077
john marino,8478507
john tavares,8475166
johnathan kovacevic,8480192
jonas brodin,8476463
jonas siegenthaler,8478399
jonatan berggren,8481013
jonathan aspirot,8481219
jonathan drouin,8477494
jonathan huberdeau,8476456
jonathan marchessault,8476539
jonathan toews,8473604
jonny brodzinski,8477380
joonas korpisalo,8476914
jordan binnington,8476412
jordan eberle,8474586
jordan greenway,8478413
jordan kyrou,8479385
jordan martinook,8476921
jordan spence,8481606
jordan staal,8473533
jorian donovan,8483435
joseph veleno,8460807
joseph woll,8479361
josh anderson,8476981
josh doan,8482659
josh manson,8476312
josh morrissey,8477504
josh norris,8480064
juho lammikko,8477996
juraj slafkovský,8483515
justin barron,8482111
justin brazeau,8479638
justin faulk,8475753
justin holl,8475718
justin hryckowian,8484829
justin sourdif,8482088
juuse saros,8477424
juuso parssinen,8481704
k'andre miller,8480817
kaapo kakko,8481554
kaedan korczak,8481527
kaiden guhle,8482087
kailer yamamoto,8479977
karel vejmelka,8478872
kasperi kapanen,8477953
keegan kolesar,8478434
kent johnson,8482660
kevin bahl,8480860
kevin hayes,8475763
kevin korchinski,8483466
kevin lankinen,8480947
kevin stenlund,8478831
kiefer sherwood,8480748
kirby dach,8481523
kirill kaprizov,8478864
kirill kaprizov + quinn hughes,8478864|8480800
kirill marchenko,8480893
konsta helenius,8484797
kris letang,8471724
kyle connor,8478398
kyle maclean,8481237
landon slaggert,8482172
lane hutson,8483457
lars eller,8474189
lawson crouse,8478474
lenni hameenaho,8484177
leo carlsson,8484153
leon draisaitl,8477934
leon draisaitl + mitch marner,8477934|8478483
liam o'brien,8477070
liam ohgren,8483499
lian bichsel,8483425
linus karlsson,8481024
linus ullmark,8476999
logan cooley,8483431
logan mailloux,8482733
logan o'connor,8481186
logan stankoven,8482702
logan stanley,8479378
logan thompson,8480313
louis crevier,8481806
lucas raymond,8482078
lukas reichel,8482117
luke evangelista,8482146
luke glendening,8476822
luke hughes,8482684
luke kunin,8479316
luke schenn,8474568
mackenzie weegar,8477346
mackie samoskevich,8482713
macklin celebrini,8484801
macklin celebrini + mikael granlund,8475798|8484801
marat khusnutdinov,8482177
marc gatcomb,8483553
marco kasper,8483464
marco rossi,8482079
marcus foligno,8475220
marcus johansson,8475149
marcus pettersson,8477969
mario ferraro,8479983
mark jankowski,8476873
mark kastelic,8480355
mark scheifele,8476460
mark stone,8475913
martin fehervary,8480796
martin necas,8480039
martin pospisil,8481028
mason appleton,8478891
mason lohrei,8482511
mason marchment,8478975
mason mctavish,8482745
mathew barzal,8478445
mathieu joseph,8478472
mathieu olivier,8479671
matias maccelli,8481711
mats zuccarello,8475692
matt boldy,8481557
matt coronato,8482679
matt duchene,8475168
matt grzelcyk,8476891
matt roy,8478911
matthew kessel,8482516
matthew knies,8482720
matthew robertson,8481525
matthew schaefer,8485366
matthew tkachuk,8479314
matthew wood,8484241
mattias ekholm,8475218
mattias samuelsson,8480807
matty beniers,8482665
matvei gridin,8484860
matvei michkov,8484387
mavrik bourque,8482145
max domi,8477503
max jones,8479368
max sasson,8484136
maxim tsyplakov,8484958
michael amadio,8478020
michael brandsegg-nygård,8473546
michael bunting,8478047
michael carcone,8479619
michael eyssimont,8479591
michael kesselring,8480891
michael mccarron,8477446
michael misa,8485402
michael pezzetta,8479543
michael rasmussen,8479992
mika zibanejad,8476459
mikael backlund,8474150
mikael granlund,8475798
mike matheson,8476875
mike reilly,8476422
mikey anderson,8479998
mikhail sergachev,8479410
mikko rantanen,8478420
miles wood,8477425
miro heiskanen,8480036
mitch marner,8478483
morgan barron,8480289
morgan frost,8480028
morgan geekie,8479987
morgan rielly,8476853
moritz seider,8481542
nate schmidt,8477220
nathan bastian,8479414
nathan gaucher,8483444
nathan mackinnon,8477492
nathan mackinnon + brock boeser,8477492|8478444
nathan mackinnon + jared mccann,8477492|8477955
nathan walker,8477573
nazem kadri,8475172
neal pionk,8480145
nic dowd,8475343
nicholas robertson,8481582
nick bjugstad,8475760
nick blankenburg,8483565
nick cousins,8476393
nick desimone,8480084
nick foligno,8473422
nick jensen,8475324
nick lardis,8484185
nick leddy,8475181
nick perbix,8480246
nick schmaltz,8477951
nick seeler,8476372
nick suzuki,8480018
nico hischier,8480002
nico sturm,8481477
nicolas hague,8479980
nicolas roy,8478462
nikita grebenkin,8483733
nikita kucherov,8476453
nikita kucherov + jake guentzel,8476453|8477404
nikita tolopilo,8484268
nikita zadorov,8477507
niko mikkola,8478859
nikolaj ehlers,8477940
nikolas matinpalo,8484321
nils hoglander,8481535
nils lundkvist,8480878
noah cates,8480220
noah dobson,8480865
noah gregor,8479393
noah hanifin,8478396
noah juulsen,8478454
noah laba,8483690
noah ostlund,8483500
noel acciari,8478569
nolan foote,8481518
olen zellweger,8482803
oliver bjorkstrand,8477416
oliver ekman-larsson,8484627
oliver kapanen,8482775
oliver moore,8484197
olli maatta,8476874
ondrej palat,8476292
oskar back,8480840
oskar sundqvist,8476897
owen power,8482671
owen tippett,8480015
owen tippett + mika zibanejad,8476459|8480015
ozzy wiesblatt,8482103
parker ford,8484135
parker kelly,8480448
parker wotherspoon,8478450
patrick kane,8474141
patrick kane + nikita kucherov,8474141|8476453
paul cotter,8481032
pavel buchnevich,8477402
pavel dorofeyev,8481604
pavel mintyukov,8483490
pavel zacha,8478401
pavol regenda,8483630
peyton krebs,8481522
philip broberg,8481598
philipp kurashev,8480798
philippe myers,8479026
phillip danault,8476479
pierre-luc dubois,8479400
pierre-olivier joseph,8480058
pius suter,8480459
pontus holmberg,8480995
porter martone,8485406
quinn hughes,8480800
quinton byfield,8482124
radko gudas,8475462
rasmus andersson,8478397
rasmus dahlin,8480839
rasmus ristolainen,8477499
rasmus sandin,8480873
reid schaefer,8483513
reilly smith,8475191
rickard rakell,8476483
ridly greig,8482092
robby fabbri,8477952
robert thomas,8480023
roby jarventie,8482162
roman josi,8474600
ross colton,8479525
ross johnston,8477527
rutger mcgroarty,8483487
ryan donato,8477987
ryan greene,8483450
ryan hartman,8477451
ryan leonard,8484186
ryan lindgren,8479324
ryan lomberg,8479066
ryan mcdonagh,8474151
ryan mcleod,8480802
ryan nugent-hopkins,8470007
ryan o'reilly,8475158
ryan poehling,8480068
ryan pulock,8477506
ryan reaves,8471817
ryan shea,8478854
ryan strome,8476458
ryan ufko,8482715
ryan winterton,8482751
ryker evans,8482858
sam bennett,8477935
sam carrick,8475842
sam colangelo,8482118
sam dickinson,8484806
sam lafferty,8478043
sam malinski,8484258
sam reinhart,8477933
sam rinzel,8483506
sam steel,8479351
samuel girard,8479398
samuel helenius,8482726
sandis vilmanis,8483771
scott laughton,8476872
scott mayfield,8476429
scott sabourin,8477149
scott wedgewood,8475809
sean couturier,8476461
sean durzi,8480434
sean kuraly,8476374
sean monahan,8477497
sean walker,8480336
sebastian aho,8478427
sergei bobrovsky,8475683
seth jarvis,8482093
seth jones,8477495
shakir mukhamadullin,8482166
shane pinto,8481596
shane wright,8483524
shayne gostisbehere,8476906
shea theodore,8477447
sheldon dries,8480326
sidney crosby,8471675
simon benoit,8481122
simon edvinsson,8482762
simon holmstrom,8481601
simon nemec,8483495
spencer knight,8481519
spencer stastney,8481056
stephen halliday,8483676
steven lorentz,8478904
steven santini,8477463
steven stamkos,8474564
tage thompson,8479420
tage thompson + rasmus dahlin,8479420|8480839
tanner jeannot,8479661
tanner pearson,8476871
taylor hall,8447463
taylor raddysh,8479390
taylor ward,8483406
teddy blueger,8476927
teuvo teravainen,8476882
thomas chabot,8478469
thomas harley,8481581
tim stutzle,8482116
tim washe,8485512
timo meier,8478414
timothy liljegren,8480043
tom willander,8484240
tom wilson,8476880
tomas hertl,8476881
tomas nosek,8477931
tony deangelo,8477950
travis konecny,8478439
travis sanheim,8477948
trent frederic,8479365
trevor moore,8479675
trevor riemsdyk,8459846
trevor zegras,8481533
tristan jarry,8477465
troy stecher,8479442
troy terry,8478873
ty dellandrea,8480848
ty emberson,8480834
tye kartye,8481789
tyler bertuzzi,8477479
tyler kleven,8482095
tyler myers,8474574
tyler toffoli,8475726
tyler tucker,8481006
tyson foerster,8482159
tyson jost,8479370
ukko-pekka luukkonen,8480045
urho vaakanainen,8480001
uvis balinskis,8484304
valeri nichushkin,8477501
vasily podkolzin,8481617
victor hedman,8475167
victor mancini,8483768
victor olofsson,8478109
viktor arvidsson,8478042
ville heinola,8481572
ville koivunen,8482758
vince dunn,8478407
vincent desharnais,8479576
vincent iorio,8482861
vincent trocheck,8476389
vinnie hinostroza,8476994
vitek vanecek,8477970
vladimir tarasenko,8475765
vladislav gavrikov,8478882
walker duehr,8482652
warren foegele,8477998
will borgen,8478840
will cuylle,8482157
will smith,8484227
william carrier,8477478
william eklund,8482667
william nylander,8477939
wyatt johnston,8482740
wyatt kaiser,8482176
yakov trenin,8478508
yan kuznetsov,8482165
yanni gourde,8476826
yegor chinakhov,8480271
yegor sharangovich,8481068
zach benson,8484145
zach bogosian,8474567
zach hyman,8475786
zach metsa,8484305
zach werenski,8478460
zach werenski + artemi panarin,8478460|8478550
zach whitecloud,8480727
zachary l'heureux,8482742
zack ostapchuk,8482859
zakhar bardakov,8482947
zayne parekh,8484768
zeev buium,8484798
zemgus girgensons,8476878
